,noticeId,title,solicitationNumber,fullParentPathName,postedDate,type,baseType,typeOfSetAsideDescription,typeOfSetAside,responseDeadLine,naicsCode,classificationCode,award,pointOfContact,description,placeOfPerformance,additionalInfoLink,uiLink,links,resourceLinks
1,bf7662a4e1f240b692dd3cc6c1a20bd9,J&A for Capacity Increase to Indefinite Delivery Indefinite Quantity (IDIQ) Architect-Engineer (A-E) services related to Facilities Management and Sustainment Support and Engineering for Work for NAVFAC,N62470-21-D-0008,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVFAC.NAVFAC ATLANTIC CMD.NAVFACSYSCOM ATLANTIC,2024-03-05,Justification,Justification,,,,541330,C219,"{'date': '2021-06-08', 'number': 'N6247021D0008'}","[{'fax': '', 'type': 'primary', 'email': 'kathleen.a.delashmitt.civ@us.navy.mil', 'phone': '', 'title': None, 'fullName': 'Kathleen Delashmitt'}, {'fax': '', 'type': 'secondary', 'email': 'amber.l.forehand-hughes.civ@us.navy.mil', 'phone': '7573228336', 'title': None, 'fullName': 'Amber Forehand-Hughes (Contracting Officer)'}]",https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=bf7662a4e1f240b692dd3cc6c1a20bd9,"{'city': {'code': '3000', 'name': 'Arlington'}, 'state': {'code': 'VA', 'name': 'Virginia'}, 'country': {'code': 'USA', 'name': 'UNITED STATES'}}",,https://sam.gov/opp/bf7662a4e1f240b692dd3cc6c1a20bd9/view,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=bf7662a4e1f240b692dd3cc6c1a20bd9&limit=1'}]",['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/04baf95cb3da4a0cab20c67aa57c7d68/download?api_key=null&token=']
2,b33027bc9d8041f4a0364de789cd2f3a,Justification of FOE.,N6600124F0275,DEPT OF DEFENSE.DEPT OF THE NAVY.SPAWAR.SPAWAR PACIFIC.NIWC PACIFIC,2024-03-05,Justification,Justification,,,,541330,D,"{'date': '2024-03-01', 'number': 'N6600119D0059', 'amount': '', 'awardee': {'name': '', 'location': {'streetAddress': '', 'streetAddress2': '', 'city': {'code': '', 'name': ''}, 'state': {'code': '', 'name': ''}, 'zip': '', 'country': {'code': '', 'name': ''}}, 'ueiSAM': '', 'duns': '', 'manual': False}}","[{'fax': '', 'type': 'primary', 'email': 'jerome.d.abaya.civ@us.navy.mil', 'phone': '', 'title': 'Contract Specialist', 'fullName': 'Jerome D Abaya'}]",https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=b33027bc9d8041f4a0364de789cd2f3a,,,https://sam.gov/opp/b33027bc9d8041f4a0364de789cd2f3a/view,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=b33027bc9d8041f4a0364de789cd2f3a&limit=1'}]",
4,95cd69088c4245d0b9257b1569b1be37,Mid-Range Capabilities (MRC) Technology Insertion Contract (TIC),W31P4Q-24-R-0021,DEPT OF DEFENSE.DEPT OF THE ARMY.AMC.ACC.ACC-CTRS.ACC RSA.W6QK ACC-RSA,2024-03-05,Presolicitation,Presolicitation,,,2024-03-26T16:00:00-05:00,541330,R425,,"[{'fax': '', 'type': 'primary', 'email': 'latasha.y.porter.civ@army.mil', 'phone': '2564797804', 'title': None, 'fullName': 'LaTasha Y. Porter'}, {'fax': None, 'type': 'secondary', 'email': 'ashley.m.lewis48.civ@army.mil', 'phone': None, 'title': None, 'fullName': 'Ashley Lewis'}]",https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=95cd69088c4245d0b9257b1569b1be37,"{'city': {'code': '37000', 'name': 'Huntsville'}, 'state': {'code': 'AL', 'name': 'Alabama'}, 'country': {'code': 'USA', 'name': 'UNITED STATES'}}",,https://sam.gov/opp/95cd69088c4245d0b9257b1569b1be37/view,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=95cd69088c4245d0b9257b1569b1be37&limit=1'}]",
5,916ff323535546cfbcb79551f70b585e,Power System Studies FY24,FA805124R4005,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR FORCE MATERIEL COMMAND.AF INSTALLATION & MISSION SUPPORT CENTER.FA8051  772 ESS PKD,2024-03-05,Sources Sought,Sources Sought,,,2024-03-27T14:00:00-05:00,541330,R425,,"[{'fax': '', 'type': 'primary', 'email': 'lisa.jones.31@us.af.mil', 'phone': '8502836302', 'title': None, 'fullName': 'Mrs. Lisa Jones'}, {'fax': '', 'type': 'secondary', 'email': 'geraldine.gladden@us.af.mil', 'phone': '8508909716', 'title': None, 'fullName': 'Geraldine Gladden'}]",https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=916ff323535546cfbcb79551f70b585e,"{'city': {'code': 'FL-11', 'name': 'Tyndall AFB'}, 'state': {'code': 'FL', 'name': 'Florida'}, 'country': {'code': 'USA', 'name': 'UNITED STATES'}}",,https://sam.gov/opp/916ff323535546cfbcb79551f70b585e/view,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=916ff323535546cfbcb79551f70b585e&limit=1'}]","['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/92dd848294b34e25b043c4e49657045e/download?api_key=null&token=', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f076e0401e2846bfa87657ab8de5df66/download?api_key=null&token=']"
6,89cbc49e7bfc48cdbb165241369a062d,NONSTRUCTURAL COASTAL STORM RISK MANAGEMENT PROJECTS – SCREENING PHASE Single Award IDIQ,W912EK24R0006,DEPT OF DEFENSE.DEPT OF THE ARMY.USACE.MVD.W07V ENDIST N ORLEANS,2024-03-05,Presolicitation,Presolicitation,Total Small Business Set-Aside (FAR 19.5),SBA,2024-03-15T14:00:00-05:00,541330,C220,,"[{'fax': '', 'type': 'primary', 'email': 'allison.a.johnson@usace.army.mil', 'phone': '', 'title': None, 'fullName': 'Allison Longeville'}, {'fax': '', 'type': 'secondary', 'email': 'j.c.paitson@usace.army.mil', 'phone': '', 'title': None, 'fullName': 'Chris Paitson'}]",https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=89cbc49e7bfc48cdbb165241369a062d,"{'state': {'code': 'LA', 'name': 'Louisiana'}, 'country': {'code': 'USA', 'name': 'UNITED STATES'}}",,https://sam.gov/opp/89cbc49e7bfc48cdbb165241369a062d/view,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=89cbc49e7bfc48cdbb165241369a062d&limit=1'}]",
7,8153668639d541939ecdd2c6b5436601,Multiple Award Schedule,47QSMD20R0001,GENERAL SERVICES ADMINISTRATION.FEDERAL ACQUISITION SERVICE.GSA/FAS FURNITURE SYSTEMS MGT DIV,2024-03-05,Award Notice,Combined Synopsis/Solicitation,,,2024-03-05T11:12:13-05:00,541330,99,"{'date': '2024-03-05', 'number': '47QRAA24D004N', 'amount': '1500000', 'awardee': {'name': 'FOURFRONT DESIGN INC', 'location': {'city': {'name': 'CITY'}, 'state': {'code': 'SD', 'name': 'South Dakota'}, 'zip': '57701-2729', 'country': {'code': 'USA', 'name': 'UNITED STATES'}}, 'ueiSAM': 'PPMKJ7QSUL76', 'cageCode': '025M3'}}","[{'fax': None, 'type': 'primary', 'email': None, 'phone': None, 'title': None, 'fullName': 'Lita M. Taylor 404-526-3157 '}]",https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=8153668639d541939ecdd2c6b5436601,,,https://sam.gov/opp/8153668639d541939ecdd2c6b5436601/view,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=8153668639d541939ecdd2c6b5436601&limit=1'}]",
10,4ca5d73b36ee4473999b146cd6c31cfa,NAVFAC Washington IDIQ AE Gen. Admin Small to Medium Projects,N4008024R2184,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVFAC.NAVFAC ATLANTIC CMD.NAVFAC WASHINGTON.NAVFACSYSCOM WASHINGTON,2024-03-05,Solicitation,Solicitation,Total Small Business Set-Aside (FAR 19.5),SBA,2024-04-08T02:00:00-05:00,541330,C219,{'awardee': {'manual': False}},"[{'fax': None, 'type': 'primary', 'email': 'frank.g.decker.civ@us.navy.mil', 'phone': '2026857418', 'title': None, 'fullName': 'Frank Decker'}]",https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=4ca5d73b36ee4473999b146cd6c31cfa,,,https://sam.gov/opp/4ca5d73b36ee4473999b146cd6c31cfa/view,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=4ca5d73b36ee4473999b146cd6c31cfa&limit=1'}]",
11,4356391c79fc4ff8917bf15e81bf5e8b,"C--Architect and Engineering (A-E), IDIQ Contract for",140FC224F0008,"INTERIOR, DEPARTMENT OF THE.US FISH AND WILDLIFE SERVICE.FWS, CONSTRUCTION A/E TEAM 2",2024-03-05,Award Notice,Award Notice,,,,541330,C1KA,"{'date': '2024-03-05', 'number': '140F0521D0001', 'amount': '241172.68', 'awardee': {'name': 'GANNETT FLEMING INC', 'location': {'streetAddress': '207 SENATE AVE', 'city': {'name': 'CAMP HILL'}, 'state': {'code': 'PA'}, 'zip': '17011-2316', 'country': {'code': 'US'}}, 'ueiSAM': 'GDNCA387GRN5', 'duns': '609153887', 'cageCode': '4Y1A9'}}","[{'fax': None, 'type': 'primary', 'email': 'Jerry_Perry@fws.gov', 'phone': '7033581782', 'title': None, 'fullName': 'Perry, Jerry'}]",https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=4356391c79fc4ff8917bf15e81bf5e8b,,,https://sam.gov/opp/4356391c79fc4ff8917bf15e81bf5e8b/view,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=4356391c79fc4ff8917bf15e81bf5e8b&limit=1'}]",
12,40f32d0c454e4c5ba7fa80720f8c4367,C1DZ--631-23-002 Upgrade Lab and Radiology A/E,36C24124R0001,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.241-NETWORK CONTRACT OFFICE 01 (36C241)",2024-03-05,Special Notice,Special Notice,,,2023-04-03T14:00:00-04:00,541330,C1DZ,{'awardee': {}},"[{'fax': '', 'type': 'primary', 'email': 'Michael.Andersen1@va.gov', 'phone': '603-624-4366x5073', 'title': 'Contract Specialist', 'fullName': 'Michael Andersen'}]",https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=40f32d0c454e4c5ba7fa80720f8c4367,"{'city': {}, 'state': {}, 'country': {}}",,https://sam.gov/opp/40f32d0c454e4c5ba7fa80720f8c4367/view,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=40f32d0c454e4c5ba7fa80720f8c4367&limit=1'}]","['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4ba513fb832e414988c731f00eb9fa63/download?api_key=null&token=', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/567b454c85f847a3a663c98bc64e22ac/download?api_key=null&token=', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/7b3d8deac5ae479c832427a4986b914c/download?api_key=null&token=', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/97c978d20bf44bbd8be2dae675393fe7/download?api_key=null&token=', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/993f81de09f84c9391abc5294d9cc6ff/download?api_key=null&token=', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/a6d8780175f2407faefad33a83543df4/download?api_key=null&token=', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ad5acbe718104bc3b1e1f87b5a382df3/download?api_key=null&token=', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c10a032ad94a48d3878b5d7f3cb76239/download?api_key=null&token=']"
13,2b3cdd0277854d1c8147bab54259a321,DRAFT Avionics Intermediate Shop Product Support Integration,FA825124RB001,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR FORCE MATERIEL COMMAND.AIR FORCE SUSTAINMENT CENTER.FA8251  AFSC PZABB,2024-03-05,Presolicitation,Presolicitation,,,2024-03-29T12:00:00-06:00,541330,R425,,"[{'fax': '', 'type': 'primary', 'email': 'Christian.Barwick@us.af.mil', 'phone': '801-775-4631', 'title': None, 'fullName': 'Christian Barwick'}]",https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=2b3cdd0277854d1c8147bab54259a321,"{'city': {'code': '0', 'name': 'Capitol Reef'}, 'state': {'code': 'UT', 'name': 'Utah'}, 'zip': '84056', 'country': {'code': 'USA', 'name': 'UNITED STATES'}}",,https://sam.gov/opp/2b3cdd0277854d1c8147bab54259a321/view,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=2b3cdd0277854d1c8147bab54259a321&limit=1'}]","['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/0e79573eb5de48c9aaa36bfa3a1dc383/download?api_key=null&token=', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/658281ccfb1b4bd882f1d1deb7cca05b/download?api_key=null&token=', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/870a61a6d86945e9b333aab089d364af/download?api_key=null&token=', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/88eabe91d26640e387f4f7645829b702/download?api_key=null&token=', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/947eeafa89e64ec78d3831a8b6535773/download?api_key=null&token=', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/cc109a494b304ac2952da699096601d0/download?api_key=null&token=', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/dee5f871f0664d1fa924ed4209b22a0b/download?api_key=null&token=']"
